Contractor,Phone,City,Zip,Permits,Total Sq Ft,Residential,Commercial,Most Recent Permit,Recent Project Addresses
We Level It,5124445438,AUSTIN,78723,20,20,20,0,2026-03-11,807 W 30TH ST | 11804 TIMBER HEIGHTS DR | 7212 DERBY DOWNS DR
Renewal by Andersen,5128348383,AUSTIN,78758,18,59,18,0,2026-03-11,4810 RUSTOWN DR | 4204 BOWSTRING CV | 1745 FRIARS TALE LN
GL Hunt Foundation Repair,2106481560,San Antonio,78233,17,566,16,1,2026-03-04,3717 BRONCO BEND LOOP | 6701 LEXINGTON RD | 8109 ALMONDSBURY LN
Novo Construction,6503808574,AUSTIN,78702,16,191277,0,16,2026-03-12,712 E HUNTLAND DR | 712 E HUNTLAND DR | 11120 FOUR POINTS DR
Harvey-Cleary Builders,5129289300,AUSTIN,78759,14,222069,0,14,2026-03-03,200 W 6TH ST UNIT 2300 | 8201 N FM 620 RD UNIT 100 | 8201 N FM 620 RD UNIT 115
"PWD-Austin, LLC Pella Windows & Doors of Austin",9082976873,Austin,78758,13,13,13,0,2026-03-12,3900 CRESTHILL DR | 1414 RIDGEMONT DR | 3901 CONFERENCE CV
"Taylor Morrison of Texas, Inc.",5123288866,AUSTIN,78717,13,46627,13,0,2026-03-11,8800 GOLDEN LION DR | 8512 AMBERGILL CT | 9109 THE RAVINE WAY
Douglas Foundation Repair,5122910709,AUSTIN,78739,13,13,13,0,2026-03-11,8824 SOUTHWICK DR | 12208 BARRAS BRANCH DR | 3316 BANKSIDE ST
Foundation Support Specialists,7262242320,San Antonio,78266,12,12,12,0,2026-03-12,7125 OUTFITTER DR | 5306 VILLAGE CV | 5307 NORTHDALE DR
"Real International Construction, LLC",8582321146,AUSTIN,78759,10,23015,10,0,2026-02-27,1942 WEBBERVILLE RD BLDG 1 | 1932 WEBBERVILLE RD BLDG 1 | 1932 WEBBERVILLE RD BLDG 2
Denali Pools LLC,512,CEDAR PARK,78613,9,3840,9,0,2026-03-12,9105 MIDDLEBIE DR | 7808 YOKOHAMA TER | 4715 BULL CREEK RD
Brookfield Residential Texas Homes LLC,5125393678,AUSTIN,78759,9,26588,9,0,2026-03-12,8816 BREEZE HILL DR | 8616 PEAFOWL ST | 9317 BOATHOUSE DR
"Cody Pools, Inc.",5128354966,Georgetown,78626,9,3414,9,0,2026-03-11,5953 SALCON CLIFF DR | 5008 AVENUE H | 5000 MC DADE DR
