Company,Email,Phone,Category,Priority,Relevant Pre-Construction Leads,Top Lead
Hill Country Electric Supply,projects@hces.net,(512) 428-9300,Electrical Supply,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Summit Electric Supply,Austin.projects@summit.com,(512) 248-2800,Electrical Supply,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Crawford Electric Supply,quotesaus@crawfordelectricsupply.com,(512) 448-1100,Electrical Supply,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Dealers Electrical Supply,quote27@dealerselectrical.com,(512) 892-5910,Electrical Supply,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Elliott Electric Supply,austinquotes2@elliottelectric.com,(512) 339-8750,Electrical Supply,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Moore Supply South,atxsth@mooresupply.com,(512) 462-0606,Plumbing Supply,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Moore Supply North,atxnth@mooresupply.com,(512) 454-4616,Plumbing Supply,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
SRS Building Products,bfitzpatrick@srsbuildingproducts.com,(512) 617-7663,Roofing/Building Materials,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Lone Star Materials,rickm@lonestarmaterials.com,(512) 834-8611,Drywall/Interior Materials,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
BCS Concrete,projects@bcsaustin.com,,Concrete Subcontractor,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
CP Electric,info@getcpelectric.com,,Electrical Subcontractor,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
SALT Electric,service@callsalt.com,,Electrical Subcontractor,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
TCS Mechanical,t.kimbro@tcsmech.com,,HVAC Subcontractor,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
G&S Mechanical,Service@AustinGSMechanical.com,,HVAC Subcontractor,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Biggs Plumbing,sales@biggsplumbing.com,,Plumbing Subcontractor,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Westmoreland Plumbing,wplumbingcompany@gmail.com,,Plumbing Subcontractor,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
360 Electrical Contractors,rconner@360electricalcontractors.com,(512) 360-3532,Electrical Subcontractor,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Fire King LLC,estimating@firekingllc.com,(512) 425-0272,Fire Protection Subcontractor,HIGH,5,Austin begins process to acquire land for new conv |  | Planning
Concrete Contractors of Austin,bids@concretecontractorsofaustin.com,(512) 580-9513,Concrete Subcontractor,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Comanche Roofing,info@comancheroofing.com,(512) 796-9175,Roofing Subcontractor,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Austin Iron,zach@austiniron.com,(512) 939-9161,Steel Fabrication,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Clarke Kent Plumbing,dispatch@clarkekentplumbing.com,(512) 477-2200,Plumbing Subcontractor,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Stallion Paving,admin@stallionpaving.com,(512) 200-3126,Concrete/Paving,HIGH,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Texas Plumbing & Drain,info@texasplumbinganddrain.com,,Plumbing Subcontractor,MEDIUM,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Patriot Erectors,contact@patrioterectors.com,(512) 858-9100,Steel Fabrication,MEDIUM,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Tex Painting,admin@texpainting.com,(512) 298-2050,Painting Subcontractor,MEDIUM,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Venditti Demolition,Info@VendittiLLC.com,(512) 430-0973,Demolition/Excavation,MEDIUM,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Allied Fence & Security,Contact@AlliedFenceAndSecurity.com,(512) 255-5416,Fence Subcontractor,MEDIUM,5,"Tiny house homeless village in Austin, TX to expan | $60M | Planning"
Austin Glass & Mirror,info@austinglass.com,(512) 928-9999,Glass/Glazing,MEDIUM,5,Austin begins process to acquire land for new conv |  | Planning
Floor Masters ATX,info@floormastersatx.com,(512) 865-4934,Flooring Subcontractor,MEDIUM,5,News | Apartments Break Ground in Northwest Austin | $2Billion | Rumor
Binswanger Glass,branch019@binswangerglass.com,(512) 454-7755,Glass/Glazing,MEDIUM,5,Austin begins process to acquire land for new conv |  | Planning
EmpireWorks,sruiz@empireworks.com,(512) 364-6935,Roofing Subcontractor,MEDIUM,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Builders FirstSource,CustomerService@Bldr.com,(512) 444-3172,Building Materials,LOW,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Apple Fence Company,info@applefenceaustin.com,(512) 680-2742,Fence Subcontractor,LOW,5,"Tiny house homeless village in Austin, TX to expan | $60M | Planning"
Reliant Plumbing,service@reliantplumbing.com,,Plumbing Subcontractor,LOW,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Welding Austin,kyle@weldingaustin.com,(512) 940-9353,Metal Fabrication,LOW,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
Reconstruction Experts,Matt.Pullin@reconexp.com,(512) 568-7024,Roofing Subcontractor,LOW,5,RFQ Issued for Austin's $7.1B Light Rail Project - | $7.1B | Design
